element,web_name,team,pos,price,xp,sd,xmins,p_start,n_fix,fpl_ep_next,matched_prior,naive_recent6,eligible,xp_next,xp_total,p6,p10,p15
426,B.Fernandes,MUN,MID,12.0,5.994,3.386,83.0,0.988,1,9.0,True,9.0,1,5.99;5.59;6.00;5.32;5.60;5.43,33.93,46.2,16.2,5.3
411,Haaland,MCI,FWD,15.5,5.974,3.358,83.1,0.987,1,8.0,True,8.0,1,5.97;6.13;6.03;5.62;5.74;6.23,35.72,51.8,17.0,3.9
427,Mbeumo,MUN,MID,7.9,5.219,3.439,82.9,0.983,1,7.0,True,7.0,1,5.22;4.84;5.22;4.58;4.84;4.68,29.38,42.6,10.7,2.6
12,Saka,ARS,MID,9.5,4.802,2.882,82.3,0.973,1,7.3,True,7.333,1,4.80;4.75;4.87;4.67;5.00;4.90,28.99,34.9,11.0,1.4
542,E.Le Fée,SUN,MID,5.9,4.796,2.901,83.0,0.985,1,4.3,True,4.333,1,4.80;4.00;4.25;3.82;4.11;3.85,24.83,36.0,10.5,1.4
200,Lacroix,CHE,DEF,6.0,4.605,2.295,83.5,0.994,1,3.0,True,3.0,1,4.61;3.68;3.95;4.11;4.70;4.04,25.09,34.9,5.5,1.4
202,Richards,CRY,DEF,5.0,4.564,2.343,83.4,0.991,1,1.3,True,1.333,1,4.56;3.77;4.48;3.71;4.17;4.27,24.96,35.8,6.1,1.5
203,Canvot,CRY,DEF,4.9,4.486,2.33,82.9,0.983,1,0.7,True,0.667,0,4.49;3.70;4.40;3.64;4.09;4.19,24.51,35.0,5.8,1.6
154,Palmer,CHE,MID,9.6,4.483,2.982,82.1,0.97,1,7.0,True,7.0,1,4.48;4.30;4.51;4.39;4.87;4.93,27.48,33.0,6.2,1.6
68,Tavernier,BOU,MID,6.0,4.48,2.836,82.4,0.975,1,7.0,True,7.0,1,4.48;4.78;4.23;4.70;4.41;4.45,27.05,31.9,5.7,1.2
367,Gakpo,LIV,MID,7.2,4.411,2.752,82.8,0.981,1,9.3,True,9.333,1,4.41;3.87;4.37;3.96;4.37;5.03,26.01,32.3,5.6,1.2
356,Virgil,LIV,DEF,6.5,4.41,2.553,83.6,0.995,1,3.0,True,3.0,1,4.41;3.43;3.71;3.58;4.10;4.13,23.36,34.9,8.8,0.5
366,Wirtz,LIV,MID,7.4,4.402,2.725,82.2,0.972,1,3.0,True,3.0,1,4.40;3.87;4.36;3.96;4.36;5.00,25.95,31.5,5.3,1.1
588,Khalaili,CRY,DEF,5.0,4.35,2.582,77.2,0.894,1,2.0,False,2.0,1,4.35;3.62;4.32;3.60;4.06;4.10,24.05,35.9,8.9,0.5
346,Calvert-Lewin,LEE,FWD,6.0,4.334,2.833,80.5,0.946,1,3.3,True,3.333,1,4.33;4.16;4.84;4.49;4.03;3.85,25.7,40.1,9.4,1.5
481,Anderson,MCI,MID,6.3,4.285,1.859,83.1,0.987,1,2.7,True,2.667,1,4.29;4.52;4.32;4.36;4.28;4.44,26.21,19.5,2.9,0.4
229,Tarkowski,EVE,DEF,6.0,4.279,2.301,83.5,0.995,1,7.0,True,7.0,1,4.28;4.58;4.18;3.87;3.68;3.76,24.35,31.7,6.1,1.3
4,Gabriel,ARS,DEF,8.0,4.266,2.51,83.5,0.992,1,5.0,True,5.0,1,4.27;3.61;4.08;3.97;4.39;3.63,23.95,34.9,8.3,0.4
165,João Pedro,CHE,FWD,7.7,4.242,2.674,82.8,0.982,1,7.0,True,7.0,1,4.24;4.21;4.39;4.23;4.62;4.80,26.49,37.1,7.9,1.1
492,Awoniyi,COV,FWD,5.5,4.222,2.804,72.4,0.819,1,1.7,True,1.667,0,4.22;3.82;4.19;3.91;4.20;4.16,24.5,39.5,9.0,1.4
480,Gibbs-White,NFO,MID,7.9,4.208,2.709,83.1,0.986,1,6.0,True,6.0,1,4.21;4.25;4.05;5.18;3.99;4.07,25.75,28.0,4.4,0.9
532,Ballard,SUN,DEF,4.9,4.185,2.583,83.1,0.987,1,4.0,True,4.0,1,4.19;3.36;4.18;3.54;4.22;4.20,23.69,29.9,10.2,0.6
112,Van Hecke,TOT,DEF,4.9,4.168,2.488,83.4,0.993,1,3.3,True,3.333,1,4.17;4.09;3.28;4.24;3.12;3.76,22.66,35.1,3.4,0.4
399,Cherki,MCI,MID,7.8,4.158,2.597,69.5,0.774,1,8.3,True,8.333,1,4.16;4.40;4.20;4.09;4.07;4.37,25.29,31.1,7.7,0.8
106,Thiago,BRE,FWD,7.9,4.156,2.727,83.0,0.985,1,1.3,True,1.333,1,4.16;4.65;4.37;4.94;4.02;4.57,26.71,38.0,8.3,1.3
552,Brobbey,SUN,FWD,5.9,4.155,2.696,82.5,0.977,1,2.0,True,2.0,1,4.16;3.45;3.59;3.25;3.44;3.17,21.06,37.6,8.1,1.2
145,Fofana,CHE,DEF,5.0,4.153,2.129,82.3,0.974,1,1.0,True,1.0,1,4.15;3.25;3.50;3.67;4.22;3.57,22.36,33.4,3.8,0.1
69,Scott,BOU,MID,6.0,4.147,2.002,83.1,0.985,1,8.0,True,8.0,1,4.15;4.30;3.98;4.32;4.08;4.14,24.97,18.5,3.7,0.7
368,Szoboszlai,LIV,MID,7.0,4.125,2.416,82.9,0.986,1,5.0,True,5.0,1,4.13;3.67;4.07;3.74;4.08;4.59,24.28,27.4,3.7,0.6
